timestamp,provider,model,latency_s
"2025-10-27T11:34:52.510104","ollama","gemma3:4b",1.694132
"2025-10-27T11:34:20.765537","ollama","gemma3:4b",1.528485
"2025-10-27T11:33:49.192108","ollama","gemma3:4b",1.646296
"2025-10-27T11:33:17.491076","ollama","gemma3:4b",1.547144
"2025-10-27T11:32:45.895044","ollama","gemma3:4b",1.766822
"2025-10-27T11:32:14.088692","ollama","gemma3:4b",1.829062
"2025-10-27T11:31:42.207245","ollama","gemma3:4b",1.655548
"2025-10-27T11:31:10.374523","ollama","gemma3:4b",1.485530
"2025-10-27T11:30:38.836325","ollama","gemma3:4b",1.591456
"2025-10-27T11:30:07.193120","ollama","gemma3:4b",1.505371
"2025-10-27T11:29:35.638753","ollama","gemma3:4b",1.700578
"2025-10-27T11:29:03.893261","ollama","gemma3:4b",1.639748
"2025-10-27T11:28:32.203422","ollama","gemma3:4b",1.637386
"2025-10-27T11:28:00.039936","ollama","gemma3:4b",1.473938
"2025-10-27T11:27:28.513858","ollama","gemma3:4b",1.768348
"2025-10-27T11:26:56.695072","ollama","gemma3:4b",1.721346
"2025-10-27T11:26:24.924815","ollama","gemma3:4b",1.554644
"2025-10-27T11:25:53.319151","ollama","gemma3:4b",1.724881
"2025-10-27T11:25:21.543680","ollama","gemma3:4b",1.550669
"2025-10-27T11:24:49.942401","ollama","gemma3:4b",1.600523
"2025-10-27T11:24:18.290198","ollama","gemma3:4b",1.548664
"2025-10-27T11:23:46.690249","ollama","gemma3:4b",1.696466
"2025-10-27T11:23:14.939227","ollama","gemma3:4b",1.833321
"2025-10-27T11:22:43.052460","ollama","gemma3:4b",1.649374
"2025-10-27T11:22:11.364844","ollama","gemma3:4b",1.661657
"2025-10-27T11:21:39.652027","ollama","gemma3:4b",1.687810
"2025-10-27T11:21:07.910204","ollama","gemma3:4b",1.737621
"2025-10-27T11:20:36.120407","ollama","gemma3:4b",1.545262
"2025-10-27T11:20:04.518582","ollama","gemma3:4b",1.754153
"2025-10-27T11:19:32.712758","ollama","gemma3:4b",1.723903
"2025-10-27T11:19:00.933728","ollama","gemma3:4b",1.800927
"2025-10-27T11:18:29.076937","ollama","gemma3:4b",1.717503
"2025-10-27T11:17:57.304742","ollama","gemma3:4b",1.624938
"2025-10-27T11:17:25.625427","ollama","gemma3:4b",1.725736
"2025-10-27T11:16:53.843729","ollama","gemma3:4b",1.643089
"2025-10-27T11:16:22.145547","ollama","gemma3:4b",1.567865
"2025-10-27T11:15:50.518977","ollama","gemma3:4b",1.542576
"2025-10-27T11:15:18.924593","ollama","gemma3:4b",1.552400
"2025-10-27T11:14:47.319029","ollama","gemma3:4b",1.525300
"2025-10-27T11:14:15.741826","ollama","gemma3:4b",1.622098
"2025-10-27T11:13:44.072544","ollama","gemma3:4b",1.630248
"2025-10-27T11:13:12.387466","ollama","gemma3:4b",1.802946
"2025-10-27T11:12:40.112730","ollama","gemma3:4b",1.865576
"2025-10-27T11:12:08.195889","ollama","gemma3:4b",1.722905
"2025-10-27T11:11:36.421435","ollama","gemma3:4b",1.542523
"2025-10-27T11:11:04.826781","ollama","gemma3:4b",1.594409
"2025-10-27T11:10:33.178515","ollama","gemma3:4b",1.579589
"2025-10-27T11:10:01.545795","ollama","gemma3:4b",1.712755
"2025-10-27T11:09:29.785650","ollama","gemma3:4b",1.669960
"2025-10-27T11:08:58.061020","ollama","gemma3:4b",1.533211
"2025-10-27T11:08:26.468134","ollama","gemma3:4b",1.686575
"2025-10-27T11:07:54.726566","ollama","gemma3:4b",1.720101
"2025-10-27T11:07:22.952540","ollama","gemma3:4b",1.795590
"2025-10-27T11:06:51.103668","ollama","gemma3:4b",1.646563
"2025-10-27T11:06:19.403724","ollama","gemma3:4b",1.643525
"2025-10-27T11:05:47.712202","ollama","gemma3:4b",1.580172
"2025-10-27T11:05:16.076567","ollama","gemma3:4b",1.706420
"2025-10-27T11:04:44.317596","ollama","gemma3:4b",1.704330
"2025-10-27T11:04:12.563135","ollama","gemma3:4b",1.667431
"2025-10-27T11:03:40.840320","ollama","gemma3:4b",1.626934
"2025-10-27T11:03:09.156212","ollama","gemma3:4b",1.651349
"2025-10-27T11:02:37.454379","ollama","gemma3:4b",1.598383
"2025-10-27T11:02:05.802224","ollama","gemma3:4b",1.530236
"2025-10-27T11:01:34.220110","ollama","gemma3:4b",1.577892
"2025-10-27T11:01:02.588116","ollama","gemma3:4b",1.688595
"2025-10-27T11:00:30.847499","ollama","gemma3:4b",1.571893
"2025-10-27T10:59:59.218965","ollama","gemma3:4b",1.629480
"2025-10-27T10:59:27.546656","ollama","gemma3:4b",1.589988
"2025-10-27T10:58:55.900883","ollama","gemma3:4b",1.678130
"2025-10-27T10:58:24.168872","ollama","gemma3:4b",1.771598
"2025-10-27T10:57:52.346216","ollama","gemma3:4b",1.779804
"2025-10-27T10:57:20.385775","ollama","gemma3:4b",1.632480
"2025-10-27T10:56:48.701019","ollama","gemma3:4b",1.521848
"2025-10-27T10:56:17.124266","ollama","gemma3:4b",1.559178
