timestamp,provider,model,latency_ms
"2025-10-27T04:44:43.574705","ollama","gemma3:4b",5586.000
"2025-10-27T04:44:13.526525","ollama","gemma3:4b",5724.000
"2025-10-27T04:43:43.476076","ollama","gemma3:4b",6008.000
"2025-10-27T04:43:13.426893","ollama","gemma3:4b",7263.000
"2025-10-27T04:42:43.377102","ollama","gemma3:4b",5057.000
"2025-10-27T04:42:13.330294","ollama","gemma3:4b",6894.000
"2025-10-27T04:41:43.280930","ollama","gemma3:4b",5651.000
"2025-10-27T04:41:13.229900","ollama","gemma3:4b",5659.000
"2025-10-27T04:40:43.179160","ollama","gemma3:4b",4798.000
"2025-10-27T04:40:13.128834","ollama","gemma3:4b",5735.000
"2025-10-27T04:39:43.074213","ollama","gemma3:4b",5474.000
"2025-10-27T04:39:13.026726","ollama","gemma3:4b",6094.000
"2025-10-27T04:38:42.983149","ollama","gemma3:4b",5361.000
"2025-10-27T04:38:12.933603","ollama","gemma3:4b",5432.000
"2025-10-27T04:37:42.882943","ollama","gemma3:4b",5349.000
"2025-10-27T04:37:12.830960","ollama","gemma3:4b",6201.000
"2025-10-27T04:36:42.792073","ollama","gemma3:4b",4884.000
"2025-10-27T04:36:12.744022","ollama","gemma3:4b",5046.000
"2025-10-27T04:35:42.699796","ollama","gemma3:4b",5148.000
"2025-10-27T04:35:12.656051","ollama","gemma3:4b",5303.000
"2025-10-27T04:34:42.612579","ollama","gemma3:4b",4861.000
"2025-10-27T04:34:12.565295","ollama","gemma3:4b",7246.000
"2025-10-27T04:33:42.515945","ollama","gemma3:4b",4797.000
"2025-10-27T04:33:12.470120","ollama","gemma3:4b",4691.000
"2025-10-27T04:32:42.422640","ollama","gemma3:4b",6899.000
"2025-10-27T04:32:12.373134","ollama","gemma3:4b",5053.000
"2025-10-27T04:31:42.326246","ollama","gemma3:4b",4970.000
"2025-10-27T04:31:12.278668","ollama","gemma3:4b",5514.000
"2025-10-27T04:30:42.228919","ollama","gemma3:4b",5295.000
"2025-10-27T04:30:12.181787","ollama","gemma3:4b",5607.000
"2025-10-27T04:29:42.132969","ollama","gemma3:4b",5335.000
"2025-10-27T04:29:12.084028","ollama","gemma3:4b",5279.000
"2025-10-27T04:28:42.034108","ollama","gemma3:4b",5175.000
"2025-10-27T04:28:11.988245","ollama","gemma3:4b",5150.000
"2025-10-27T04:27:41.949290","ollama","gemma3:4b",4955.000
"2025-10-27T04:27:11.902168","ollama","gemma3:4b",4669.000
"2025-10-27T04:26:41.865755","ollama","gemma3:4b",4589.000
"2025-10-27T04:26:11.818233","ollama","gemma3:4b",5079.000
"2025-10-27T04:25:41.770125","ollama","gemma3:4b",5439.000
"2025-10-27T04:25:11.718226","ollama","gemma3:4b",9265.000
"2025-10-27T04:24:41.666186","ollama","gemma3:4b",5891.000
"2025-10-27T04:24:11.619008","ollama","gemma3:4b",4909.000
"2025-10-27T04:23:41.572195","ollama","gemma3:4b",4875.000
"2025-10-27T04:23:11.527202","ollama","gemma3:4b",5529.000
"2025-10-27T04:22:41.481392","ollama","gemma3:4b",4478.000
"2025-10-27T04:22:11.434076","ollama","gemma3:4b",5234.000
"2025-10-27T04:21:41.397864","ollama","gemma3:4b",4232.000
"2025-10-27T04:21:11.352279","ollama","gemma3:4b",4980.000
"2025-10-27T04:20:41.306697","ollama","gemma3:4b",4747.000
"2025-10-27T04:20:11.260647","ollama","gemma3:4b",4785.000
"2025-10-27T04:19:41.211025","ollama","gemma3:4b",5511.000
"2025-10-27T04:19:11.166070","ollama","gemma3:4b",5165.000
"2025-10-27T04:18:41.118818","ollama","gemma3:4b",5503.000
"2025-10-27T04:18:11.073044","ollama","gemma3:4b",6719.000
"2025-10-27T04:17:41.025303","ollama","gemma3:4b",4554.000
"2025-10-27T04:17:10.981956","ollama","gemma3:4b",4165.000
"2025-10-27T04:16:40.935091","ollama","gemma3:4b",4861.000
"2025-10-27T04:16:10.882560","ollama","gemma3:4b",5389.000
"2025-10-27T04:15:40.835962","ollama","gemma3:4b",4739.000
"2025-10-27T04:15:10.789168","ollama","gemma3:4b",5641.000
"2025-10-27T04:14:40.738724","ollama","gemma3:4b",5039.000
"2025-10-27T04:14:10.691225","ollama","gemma3:4b",5514.000
"2025-10-27T04:13:40.644696","ollama","gemma3:4b",5107.000
"2025-10-27T04:13:10.597626","ollama","gemma3:4b",5338.000
"2025-10-27T04:12:40.550587","ollama","gemma3:4b",4859.000
"2025-10-27T04:12:10.506632","ollama","gemma3:4b",4472.000
"2025-10-27T04:11:40.461637","ollama","gemma3:4b",6470.000
"2025-10-27T04:11:10.414866","ollama","gemma3:4b",4494.000
"2025-10-27T04:10:40.368264","ollama","gemma3:4b",4530.000
